,№,Номер проекта,Название,Руководитель,Ключевые слова,Коды классификатора,Конкурс,Год,"Организация, регион"
553,554,16-19-00163,"Исследование создания 2-х и 3-х мерных структур NV-центров в монокристаллическом CVD алмазе в процессе его синтеза и изучение спиновых состояний NV-центров для применения в области квантовых коммуникаций и вычислений,",Горбачев А. М.,NV-центры в алмазе; монокристаллический CVD алмаз; спиновые состояния; спектры флуоресценции NV-центров; упорядоченная совокупности NV центров; дельта-легирование; управление зарядовым состоянием NV-центров,Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИПФ РАН, 

Нижегородская обл"
554,555,16-16-00080,"Изучение становления специфичности растительно-микробного взаимодействия с использованием реликтовых бобовых растений и ее связи с продуктивностью симбиоза,",Сафронова В. И.,"Азотфиксирующий симбиоз, биопрепараты, биоразнообразие, клубеньковые бактерии, полногеномное секвенирование, продуктивность агроценозов, растительно-микробные взаимодействия, реликтовые бобовые растения, эволюция симбиоза",Сельскохозяйственные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБНУ ВНИИСХМ, 

г Санкт-Петербург"
555,556,16-19-00122,"Разработка основ проектирования и компьютерного моделирования аналоговых и аналого-цифровых интерфейсных микросхем и IP-модулей ответственного применения датчиковых систем роботов, предназначенных для эксплуатации при низких, в т.ч. криогенных температурах,",Прокопенко Н. Н.,"Низкотемпературная микроэлектроника, криогенные температуры, радиационная стойкость, биполярно-полевая технология, датчиковые системы, аналогово-цифровые интерфейсы, IP-модули, поток нейтронов, накопленная доза радиации, мостовые датчики, пьезоэлектрические датчики, емкостные датчики, акселерометры, системы автоматизированного проектирования, компьютерные модели транзисторов.",Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"Донской государственный технический университет; ДГТУ, 

Ростовская обл"
556,557,16-16-00094,"Разработка технологии получения новых функциональных ингредиентов животного происхождения - пептидных гидролизатов молочных белков и создание функциональных продуктов на основе гидролизатов, про – и пребиотиков.,",Федорова Т. В.,"функциональные пищевые ингредиенты; функциональные продукты питания; пектин тыквенный; белково-пептидные гидролизаты, подсырная сыворотка; биологически активные пептиды; био-функциональные свойства in vitro и in vivo",Сельскохозяйственные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФИЦ Биотехнологии РАН, 

г Москва"
557,558,16-15-00283,"Разработка методов проектирования и создание механотронной системы поддержки кровообращения для лечения детей с тяжёлыми формами сердечной недостаточности,",Готье С. В.,"Терминальная сердечная недостаточность у детей, механическая поддержка кровообращения, имплантируемый вспомогательный насос, компьютерное моделирование потоков крови в насосе, гидродинамические стенды-имитаторы системы кровообращения, биосовместимость, гемолиз.",Фундаментальные исследования для медицины,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБУ ""ФНЦТИО им. ак. В.И. Шумакова"" Минздрава России, 

г Москва"
558,559,16-17-00018,"Разработка научных основ и системы комплексного геомеханического мониторинга для предупреждения горных ударов и техногенных землетрясений в районах повышенной геодинамической активности,",Рассказов И. Ю.,"Горные удары, техногенная сейсмичность, массив горных пород, напряженно-деформированное состояние, геодинамика, математическое моделирование, сейсмоакустика, системы геомеханического мониторинга, алгоритмы, программные комплексы, очаги разрушений, предвестники, прогноз",Науки о Земле,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИГД ДВО РАН, 

Хабаровский край"
559,560,16-11-00100,"Разработка высокоточных численных методов, алгоритмов и программного обеспечения высокопроизводительной вычислительной техники для моделирования природных и техногенных воздействий на трубопроводные системы, функционирующие в арктических условиях. ,",Гасилов В. А.,"разностные схемы, неструктурированные сетки, сеточно-характеристический метод, высокопроизводительные вычисления, численное моделирование, волны в неоднородных средах, добыча и транспорт углеводородов, газогидраты, арктические условия, шельф, техногенные и природные воздействия на трубопроводные системы","Математика, информатика и науки о системах",Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИПМ им. М.В. Келдыша РАН, 

г Москва"
560,561,16-16-00124,"Разработка унифицированной экспериментальной модели in vivo для оценки безопасности пищевой продукции, полученной с использованием ГМО растительного и животного происхождения,",Тышко Н. В.,ГМО; генно-инженерно-модифицированные организмы; оценка безопасности ГМО; токсикологические исследования; биомаркеры; апоптоз; система ситуационного моделирования; унифицированная экспериментальная модель in vivo; тест-система,Сельскохозяйственные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБУН «ФИЦ питания и биотехнологии», 

г Москва"
561,562,16-14-00083,"Технология получения штаммов эукариотических клеток - продуцентов антимикробных антител ,",Тикунова Н. В.,"Штамм-продуцент, моноклональное антитело, химерное антитело, полноразмерное антитело человека, рекомбинантный белок, клеточная линия, плазмида, трансфекция, ортопоксвирус, вирус клещевого энцефалита, олигосахарид, микозы, животная модель",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИХБФМ СО РАН, 

Новосибирская обл"
562,563,16-17-00117,"Развитие методологии прогнозирования и способов предотвращения чрезвычайных ситуаций и техногенных аварий при освоении и использовании подземного пространства, как многокомпонентной системы мегаполисов.,",Протосеня А. Г.,"Мегаполис, подземное пространство, компоненты подземного пространства, напряженно-деформированное состояние, подземная микробиота, газодинамическое давление, чрезвычайные ситуации, природно-техногенные процессы.",Науки о Земле,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"Горный университет, 

г Санкт-Петербург"
563,564,16-17-00122,"Мониторинг и прогноз экстремальных явлений в Арктике,",Заболотских Е. В.,"полярные циклоны, штормовые ветра, аномально высокие волны, морской лед, геоинформационные системы, спутниковое дистанционное зондирование, пассивные микроволновые методы, алгоритмы восстановления параметров, физико-математическое моделирование, численный прогноз",Науки о Земле,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"РГГМУ, 

г Санкт-Петербург"
564,565,16-17-00041,"Методы и модели прогноза опасных короткоживущих морских волн,",Диденкулова И. И.,"экстремальные морские волны, прогноз экстремальных событий, волны-убийцы, ветровые волны, накат волн, численное моделирование, лабораторное моделирование",Науки о Земле,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"НГТУ, 

Нижегородская обл"
565,566,16-13-00110,"Электроды нового поколения для литий- и натрий-ионных аккумуляторов: гибридные наноматериалы на основе углерода и оксидов и сульфидов р- и d- элементов.,",Приходченко П. В.,"литий-ионный аккумулятор, натрий-ионный аккумулятор, электродный материал, анод, оксиды, сульфиды, d-элементы, р-элементы, наноматериалы, тонкие пленки, гибридные материалы",Химия и науки о материалах,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИОНХ РАН, 

г Москва"
566,567,16-19-00075,"Термоэлектрический преобразователь с рекордными параметрами на основе углеродных наноструктур: разработка научных основ ,",Эйдельман Е. Д.,Термоэлектричество. Конструкция термоэлектрического элемента. Углеродные наноструктуры. Коэффициент термоэдс - коэффициент Зеебека. Интерфейс - граница углеродных наноструктур Теплопередача на границе углеродных наноструктур. Графитоподобные области. Алмазоподобные области. Увлечение электронов фононами. Углеродные нанокомпозиты. Графен. Алмазные плёнки. Метод CVD.,Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФТИ им. А.Ф. Иоффе, 

г Санкт-Петербург"
567,568,16-13-00112,"Cоздание каталитического мембранного реактора для получения синтез-газа и водорода из углеводородов и спиртов,",Садыков В. А.,"Конверсия природного газа, углеводороды, биотопливо, синтез-газ, получение водорода, среднетемпературные твердооксидные топливные элементы, нанокомпозитные материалы, оксидные катализаторы, нанокомпозиты со смешанной ионной-электронной проводимостью, мембраны",Химия и науки о материалах,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИК СО РАН, 

Новосибирская обл"
568,569,16-12-00085,"Глобальная сеть телескопов-роботов МАСТЕР: оптический мониторинг ближнего и дальнего космического пространства с целью обнаружения и изучения космических взрывов.,",Липунов В. М.,"алгоритмы и протоколы обмена информацией, телескопы-роботы, самообучающиеся системы обработки широкопольных изображений",Физика и науки о космосе,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
569,570,16-19-00188,"Математические модели и методы обеспечения комплексной промышленной безопасности при транспортировке углеводородов трубопроводным транспортом,",Губин С. А.,"Течения в трубопроводах, механика гетерогенных сред, нестабильные (вскипающие) жидкости, численное моделирование, интенсивность выброса, анализ риска, показатели риска, нестационарность, балльные оценки, фронты вскипания, рельеф трассы, газо-капельные потоки, гравитационное расслоение",Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"НИЯУ МИФИ, 

г Москва"
570,571,16-14-00102,"Новые мишени нейромодуляторов человека Lynx-1 и Lypd-6: действие на никотиновые ацетилхолиновые и ГАМКергические рецепторы ЦНС и роль в когнитивных процессах в норме и патологии,",Люкманова Е. Н.,"Никотиновый ацетилхолиновый рецептор, GABAA-рецептор, нейромодулятор, Lynx, Lypd-6, когнитивные процессы, память, мозг",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
571,572,16-14-00191,"Разработка технологии создания de novo рекомбинантных биологических антидотов пролонгированного действия для терапии нарушений деятельности нервной системы,",Смирнов И. В.,"Экспрессия генов в СНО клетках, локусы прикрепления к ядерному матриксу, MAR, модификация белков полисиаловыми кислотами, биокатализ, бутирилхолинэстераза, серпины, фармакокинетика, антидоты к фосфорорганическим отравляющим токсинам (ФОТ), пестицидам, нервно-паралитическим ядам, нокаутные мыши по гену бутирилхолиэстеразы.",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИБХ РАН, 

г Москва"
572,573,16-12-00045,"Интегральные однофотонные источники света с мультиплексированием,",Гольцман Г. Н.,"Однофотонный источник, интегрально-оптическая схема, сверхпроводниковый детектор, мультиплексирование, спонтанное четырёхволновое смешение",Физика и науки о космосе,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"КФТИ КазНЦ РАН, 

Республика Татарстан"
573,574,16-12-00070,"Фотоника в микроволновом диапазоне для квантовой информатики и квантовой электроники на чипе ,",Астафьев О. В.,"квантовые вычисления, кубиты, сверхпроводимость, квантовое проскальзывание фазы, нано-приборы, джозефсоновские переходы, квантовая оптика, СВЧ, искусственные атомы , фотоны",Физика и науки о космосе,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"МФТИ, 

Московская обл"
574,575,16-14-00046,"Разработка новых биотехнологических процессов переработки панцирьсодержащего сырья ракообразных для получения производных хитозана медицинского назначения,",Варламов В. П.,"хитозан, олигомеры, бактерицидная активность, степень дезацетилирования, D-глюкозоамин, деполимеризация хитозана, хитиназа, хитозаназа, антибиотик, адъювант, доставка лекарств",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФИЦ Биотехнологии РАН, 

г Москва"
575,576,16-14-00150,"Оптимизация и стандартизация получения трансгенных животных для экспрессии целевых белков в научно-исследовательских целях и для биотехнологического применения,",Коробко И. В.,"Рекомбинантные белки, трансгеннные животные, молочная железа, промотор гена бета-казеина козы, сайт-специфическая рекомбинация, регуляция экспрессии, антитромбин III, терминаторы транскрипции, опосредованный рекомбинацией обмен экспрессионными кассетами, CRISPR, гомологичная рекомбинация",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИБГ РАН, 

г Москва"
576,577,16-11-00068,"Теоретические и прикладные исследования в области интеллектуализации геоинформационных технологий интегрированной обработки разнородной тематической информации и данных ДЗЗ при организации комплексного мониторинга и анализа состояния окружающей среды,",Васин Ю. Г.,"Экологический мониторинг, природные и техногенные катастрофы, геоинформационные системы, ДЗЗ, модели и методы обработки изображений, адаптивное сжатие данных, распознавание, мультиклассификаторы, вычислительная геометрия, методы распараллеливания, 3D - моделирование и визуализация","Математика, информатика и науки о системах",Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского, ННГУ им. Н.И. Лобачевского, ННГУ, Университет Лобачевского, 

Нижегородская обл"
577,578,16-14-00029,"Создание метода объективной визуализации контроля хода хирургической операции.,",Франкевич В. Е.,"Хирургия, масс-спектрометрия, гинекология, акушерство, робототехника",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБУ ""НЦАГиП им.В.И.Кулакова"" Минздрава России, 

г Москва"
578,579,16-14-00122,"Модуляция протон-активируемых ионных каналов эндогенными и синтетическими моноаминами как новый подход к фармакологической регуляции ЦНС ,",Тихонов Д. Б.,"ионные каналы, фармакологическая модуляция, моноамины, лиганд-рецепторное взаимодействие, синаптическая передача, пластичность",Биология и науки о жизни,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИЭФБ РАН, 

г Санкт-Петербург"
579,580,16-19-00046,"Разработка математических методов синтеза схем и процедур обнаружения неисправностей и отказов систем отказоустойчивого управления робототехническими системами ,",Жирабок А. Н.,"Робототехнические системы, нелинейные модели, отказоустойчивое управление, обнаружение неисправностей, алгебра функций, логико-динамический подход, непараметрические методы, скользящие режимы, робастность, оптимизация, моделирование.",Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ДВФУ, 

Приморский край"
580,581,16-19-00044,"Принципы распределения задач между сервисными роботами и средствами киберфизического интеллектуального пространства при многомодальном обслуживании пользователей ,",Ронжин А. Л.,"Человеко-машинное взаимодействие, робототехника, речевой и многомодальный интерфейсы, ассистивные технологии, манипуляторы, анализ контекстной информации, понимание ситуации,облачная робототехника, киберфизические системы",Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"СПИИРАН, 

г Санкт-Петербург"
581,582,16-19-00135,"Новые нейросетевые технологии ассоциативной памяти и распознавания образов в системе взаимодействующих осцилляторов на базе переключательных структур оксидов переходных металлов.,",Величко А. А.,"Нейронный осциллятор, биоподобные нейронные сети, электрическое переключение, оксид ванадия, энергонезависимая резистивная память, электронно-лучевая модификация",Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ПетрГУ, 

Республика Карелия"
582,583,16-13-00038,"Электродные материалы для литий-ионных аккумуляторов на базе металлорганических полимеров,",Левин О. В.,"литий-ионные аккумуляторы, проводящие полимеры, стабильные свободные радикалы, комплексы переходных металлов, органические катодные материалы",Химия и науки о материалах,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"СПбГУ, Санкт-Петербургский государственный университет, 

г Санкт-Петербург"
583,584,16-18-00080,"Разработка малоинвазивных технологий для дистантного съема и онлайн-анализа физиологических индикаторов психо-эмоциональных состояний человека,",Захаров П. Н.,"Психофизиология, биологические данные, психические процессы и состояния, психо-эмоциональные состояния человека, дистантный съем данных",Гуманитарные и социальные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
584,585,16-17-00042,"Оценка опасности эксплозивных извержений вулканов на основе комплексного анализа данных дистанционного зондирования и наземных инструментальных наблюдений,",Гордеев Е. И.,"вулканы, эксплозивные извержения, вулканоопасность, видеонаблюдения, информационная система, дистанционное зондирование Земли, космические технологии, компьютерное моделирование, RESTful web-сервисы, геоинформационные технологии",Науки о Земле,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИВиС ДВО РАН, 

Камчатский край"
585,586,16-15-00042,"Матрицы-носители, сформированные из новых биодеградируемых синтетических материалов с регулируемыми физико-химическими свойствами, и тканеинженерные конструкции на их основе.,",Чайлахян Р. К.,"Биополимеры, хитозан, ненасыщенные высшие жирные кислоты, полилактиды, олигоэфиракрилаты, стереолитография, одно- и двух-фотонная полимеризация, скаффолды, биодеградируемые полимеры, тканевая инженерия, биосовместимость, костный мозг, культура ткани, стволовые стромальные клетки, адгезия клеток.",Фундаментальные исследования для медицины,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФНИЦ ""Кристаллография и фотоника"" РАН, 

г Москва"
586,587,16-15-00133,"Разработка новых имплантируемых материалов с rhBMP-2 и эритропоэтином для реконструктивной хирургии. ,",Карягина-Жулина А. С.,"материалы для реконструктивной хирургии, BMP-2, эритропоэтин, деминерализованный костный матрикс, остеогенез, остеоиндуктивность, остеокондуктивность, остеоинтеграция, регенерация костной ткани, кинетическое моделирование клеточных процессов, белковая инженерия, дефекты костной ткани критического размера, эктопический остеогенез",Фундаментальные исследования для медицины,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБУ ""ФНИЦЭМ им. Н.Ф. Гамалеи"" Минздрава России, 

г Москва"
587,588,16-15-00298,"Разработка и изучение биологического действия костно-пластического отверждаемого композитного материала с заданной кинетикой высвобождения индукторов неоостеогенеза,",Кулаков А. А.,"Костно-пластический материал, регенерация костной ткани, хитозан, полилактид, BMP-2, композитный материал, остеоиндукция, остеокондукция, морфометрия, цитосовместимость, биодеградация.",Фундаментальные исследования для медицины,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБУ ""ЦНИИС и ЧЛХ"" Минздрава России, 

г Москва"
588,589,16-19-00107,"Разработка, создание и исследование функциональных возможностей движителей на основе электроактивных полимерных композитных материалов для биомиметических микроробототехнических систем,",Лучинин В. В.,"Микроробототехнические системы, актюатор, полимерные электроактивные материалы, ЭАП, микродвижитель, ионные полимер-металлические композиты, ИПМК, биомиметические микросистемы, МЭМС",Инженерные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"СПбГЭТУ ""ЛЭТИ"", 

г Санкт-Петербург"
589,590,16-18-00041,"Изучение мозгового обеспечения когнитивной деятельности человека: фМРТ-ЭЭГ исследование функциональной организации мозговых систем, вовлекаемых в обеспечение порождения и восприятия элементов речи,",Киреев М. В.,"мозговое обеспечение языка и речи, нейролингвистика, функциональная организация мозговых систем, функциональная МРТ, ментальный лексикон, количественная ЭЭГ, лобно-височная речевая система",Гуманитарные и социальные науки,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ИМЧ РАН, 

г Санкт-Петербург"
590,591,16-15-00086,"Разработка клеточной технологии подавления иммунных реакций отторжения трансплантируемых тканей.,",Сенников С. В.,"Дендритные клетки, ДНК-конструкция, антиген-специфическая толерантность, отторжение трансплантата, антигены гистосовместимости, смешанная культура лимфоцитов.",Фундаментальные исследования для медицины,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"НИИФКИ, 

Новосибирская обл"
591,592,16-15-00290,"Разработка интраоперационного способа определения микрометастазов в сторожевых лимфатических узлах при раке предстательной железы методом полимеразно-цепной реакции,",Алексеев Б. Я.,"Рак предстательной железы, микрометастазы, сторожевые лимфатические узлы, ПЦР-РВ",Фундаментальные исследования для медицины,Конкурс 2015  года «Проведение фундаментальных научных исследований и поисковых научных исследований по приоритетным тематическим направлениям исследований» (11),2015,"ФГБУ «НМИРЦ» Минздрава России, 

Калужская обл"
